time,ctrlMel.statePos_x,ctrlMel.statePos_y,ctrlMel.statePos_z,ctrlMel.setpointPos_x,ctrlMel.setpointPos_y,ctrlMel.setpointPos_z,ctrlMel.log_data,
16.463,0.235307,-0.146193,0.0340196,0,0,0,0,
16.473,0.235317,-0.146304,0.034019,0,0,0,0,
16.483,0.235162,-0.145681,0.0340092,0,0,0,0,
16.493,0.235246,-0.146052,0.0340134,0,0,0,0,
16.503,0.235288,-0.145727,0.0340152,0,0,0,0,
16.513,0.235308,-0.146074,0.034016,0,0,0,0,
16.523,0.235318,-0.146149,0.0340322,0,0,0,0,
16.534,0.235663,-0.145968,0.0340295,0,0,0,0,
16.543,0.235499,-0.145909,0.034019,0,0,0,0,
16.553,0.235585,-0.145864,0.0340211,0,0,0,0,
16.564,0.235626,-0.14584,0.0340227,0,0,0,0,
16.573,0.235492,-0.14562,0.0340186,0,0,0,0,
16.593,0.235632,-0.146033,0.0340248,0,0,0,0,
16.603,0.235309,-0.146019,0.0340121,0,0,0,0,
16.613,0.235336,-0.145729,0.0340127,0,0,0,0,
16.633,0.235254,-0.145728,0.0340081,0,0,0,0,
16.643,0.235293,-0.145564,0.0340084,0,0,0,0,
16.653,0.235311,-0.14548,0.0340084,0,0,0,0,
16.664,0.235319,-0.145436,0.0340089,0,0,0,0,
16.674,0.2355,-0.145626,0.0340146,0,0,0,0,
16.693,0.23531,-0.145503,0.0340076,0,0,0,0,
16.703,0.235319,-0.145448,0.0340072,0,0,0,0,
16.713,0.235534,-0.146185,0.034011,0,0,0,0,
16.723,0.235296,-0.145488,0.0340057,0,0,0,0,
16.733,0.235312,-0.145953,0.0340054,0,0,0,0,
16.743,0.235319,-0.145673,0.0340047,0,0,0,0,
16.753,0.235322,-0.145529,0.0340036,0,0,0,0,
16.764,0.235322,-0.145455,0.0340025,0,0,0,0,
16.773,0.235496,-0.146135,0.0340019,0,0,0,0,
16.783,0.235286,-0.14624,0.034001,0,0,0,0,
16.793,0.235306,-0.145812,0.0340013,0,0,0,0,
16.803,0.235315,-0.145594,0.0340017,0,0,0,0,
16.813,0.235493,-0.145691,0.0340029,0,0,0,0,
16.823,0.235582,-0.145737,0.034003,0,0,0,0,
16.833,0.235305,-0.145886,0.0340016,0,0,0,0,
